Electron density <n>,                             0.6842264549                                      
d<n>,                                             nan                                               
Double occupancy <n+ n->,                         0.03725956633                                     
d<n+ n->,                                         nan                                               
Hkin,                                             -28.56496978                                      
dHkin,                                            nan                                               
Hint,                                             0.5961530613                                      
Average sign,                                     -0.7104166667                                     
