Configuration log weight                          
9.91401                                           
20.0795                                           
25.8515                                           
25.7687                                           
34.6086                                           
32.4907                                           
37.5711                                           
37.4066                                           
45.5922                                           
46.4522                                           
49.7103                                           
56.6136                                           
48.7888                                           
54.5087                                           
49.012                                            
56.3951                                           
62.475                                            
72.7174                                           
80.5347                                           
83.0323                                           
91.7576                                           
98.4854                                           
105.465                                           
108.444                                           
110.454                                           
121.816                                           
130.857                                           
137.732                                           
132.188                                           
132.661                                           
132.702                                           
145.791                                           
152.924                                           
153.612                                           
166.79                                            
182.816                                           
187.565                                           
198.001                                           
198.434                                           
208.646                                           
215.024                                           
221.381                                           
226.885                                           
237.74                                            
242.415                                           
242.156                                           
250.488                                           
260.307                                           
257.391                                           
260.158                                           
270.133                                           
273.927                                           
279.911                                           
283.252                                           
296.733                                           
294.627                                           
303.205                                           
309.177                                           
316.861                                           
311.238                                           
317.061                                           
317.066                                           
320.379                                           
323.061                                           
335.068                                           
339.107                                           
346.176                                           
351.477                                           
350.974                                           
359.279                                           
361.364                                           
364.597                                           
371.265                                           
380.552                                           
389.953                                           
394.63                                            
395.909                                           
404.932                                           
407.332                                           
410.38                                            
417.56                                            
416.252                                           
422.852                                           
436.635                                           
435.438                                           
435.662                                           
439.76                                            
441.371                                           
447.73                                            
458.965                                           
462.236                                           
472.974                                           
479.671                                           
480.95                                            
479.507                                           
487.612                                           
494.284                                           
493.612                                           
497.47                                            
508.594                                           
514.169                                           
522.163                                           
519.565                                           
533.764                                           
540.264                                           
543.831                                           
558.009                                           
562.51                                            
562.943                                           
565.088                                           
572.158                                           
579.759                                           
580.438                                           
585.665                                           
595.183                                           
595.608                                           
598.88                                            
608.484                                           
617.356                                           
614.666                                           
611.631                                           
619.814                                           
615.008                                           
620.466                                           
625.698                                           
625.179                                           
631.85                                            
634.21                                            
638.997                                           
631.853                                           
639.965                                           
650.042                                           
649.047                                           
655.773                                           
654.526                                           
658.581                                           
649.866                                           
655.259                                           
658.852                                           
658.906                                           
657.941                                           
664.885                                           
666.121                                           
664.788                                           
666.886                                           
669.766                                           
672.643                                           
679.456                                           
683.15                                            
690.902                                           
685.948                                           
688.006                                           
693.234                                           
693.044                                           
695.85                                            
696.129                                           
696.36                                            
704.774                                           
700.373                                           
697.521                                           
704.674                                           
714.675                                           
715.526                                           
718.999                                           
724.307                                           
721.359                                           
724.852                                           
728.733                                           
731.09                                            
723.586                                           
730.149                                           
730.831                                           
730.23                                            
727.494                                           
726.967                                           
725.567                                           
730.261                                           
729.694                                           
730.855                                           
727.541                                           
736.267                                           
741.214                                           
743.353                                           
741.435                                           
743.21                                            
760.177                                           
752.006                                           
753.711                                           
756.79                                            
766.725                                           
771.845                                           
776.57                                            
776.615                                           
782.686                                           
779.229                                           
784.468                                           
788.548                                           
793.137                                           
798.236                                           
803.057                                           
802.17                                            
804.205                                           
799.859                                           
806.722                                           
813.836                                           
817.824                                           
821.086                                           
833.074                                           
828.446                                           
831.255                                           
834.458                                           
827.793                                           
837.424                                           
840.492                                           
834.512                                           
836.221                                           
839.48                                            
841.37                                            
850.24                                            
847.049                                           
852.675                                           
860.911                                           
867.136                                           
867.899                                           
868.695                                           
874.08                                            
881.352                                           
879.127                                           
887.977                                           
889.328                                           
